PERIOD,DIVISION_NAME,DEPT_GROUP_NAME,SALE_AMT,SALE_QTY,SALE_AMT_LY,SALE_QTY_LY
202604,01 HARD LINE,0160 MOBILE AND IT,106852.34,70.0,207275.61,132.0
202605,02 HOME LINE,0240 HOME IMPROVEMEN,133457.92,1258.0,161791.09,1443.0
202606,02 HOME LINE,0290 PACKAGING,28172.9,3249.0,27275.7,3559.0
202607,04 DRY FOOD,0461 FACE & COSMETICS,10671.02,135.0,11035.51,130.0
202604,01 HARD LINE,0110 SMALL APPLIANCE,1044568.41,1308.0,900855.06,1108.0
202604,04 DRY FOOD,0440 BEVERAGE,2899612.37,44395.0,2758243.25,42130.0
202602,06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,285.05,3.0,423.36,8.0
202602,05 FRESH FOOD,0560 PERISHABLE,750936.87,13561.0,850462.28,15621.0
202605,03 SOFT LINE,0350 FOOTWEAR,867403.56,3801.0,837811.24,3829.0
202604,05 FRESH FOOD,0530 PRODUCE,492339.44,11939.63,430664.37,11350.91
202603,04 DRY FOOD,0442 BEVERAGE_SME,15179.44,469.0,5198.12,201.0
202601,02 HOME LINE,0250 STATIONERY & EDUTAINMENT,192013.96,3518.0,202646.18,4028.0
202607,05 FRESH FOOD,0560 PERISHABLE,205.61,6.0,85.98,5.0
202601,05 FRESH FOOD,0540 DELICATESSEN,288004.14,8644.64,333127.04,8796.33
202603,06 PHARMACY,0620 OVER THE COUNTER,1546.73,42.0,1147.2,18.0
202602,04 DRY FOOD,0410 SWEETED GROCE.1,0.0,0.0,0.0,0.0
202606,03 SOFT LINE,0322 MEN ESSENTIAL,52798.17,443.0,60337.4,529.0
202601,05 FRESH FOOD,0520 SEAFOOD,391994.4,2675.14,250221.89,3424.31
202603,01 HARD LINE,0112 MAJOR APPLIANCE,531098.14,83.0,669365.43,100.0
202603,04 DRY FOOD,0460 HBA,1054.21,8.0,1206.54,9.0
202605,04 DRY FOOD,0490 TOBACCO,0.0,0.0,3046028.04,5000.0
202607,04 DRY FOOD,0470 HOUSEHOLD,0.0,0.0,0.0,0.0
202602,04 DRY FOOD,0480 PETS,119955.25,2253.0,172611.6,2333.0
202603,04 DRY FOOD,0470 HOUSEHOLD,1365456.36,21404.0,1319087.78,20889.0
202603,04 DRY FOOD,0461 FACE & COSMETICS,344299.88,4854.0,360316.76,4702.0
202603,02 HOME LINE,0220 HOME DECOR,233559.76,1212.0,281810.32,1057.0
202606,03 SOFT LINE,0340 BABY ACCESSORIES,38068.23,398.0,56852.35,613.0
202601,05 FRESH FOOD,0510 BUTCHERY,1582542.15,15832.24,1539205.36,16659.96
202607,04 DRY FOOD,0420 SWEETED GROCE.2,22012.14,655.0,33639.72,1215.0
202601,06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,35.51,2.0,637.38,5.0
202601,05 FRESH FOOD,0560 PERISHABLE,840603.29,14725.0,934670.07,17168.0
202604,03 SOFT LINE,0350 FOOTWEAR,469476.46,2352.0,432033.5,2356.0
202604,02 HOME LINE,0240 HOME IMPROVEMEN,116828.01,1043.0,158410.27,1408.0
202605,02 HOME LINE,0290 PACKAGING,32981.32,4214.0,28663.56,4083.0
202606,04 DRY FOOD,0461 FACE & COSMETICS,281767.05,3577.0,308506.75,3595.0
202603,01 HARD LINE,0110 SMALL APPLIANCE,741159.14,1045.0,818153.71,1043.0
202601,02 HOME LINE,0290 PACKAGING,13416.82,7124.0,13271.03,7402.0
202605,05 FRESH FOOD,0520 SEAFOOD,361026.57,2209.67,274674.87,2426.83
202605,02 HOME LINE,0250 STATIONERY & EDUTAINMENT,297044.81,5127.0,294819.99,5410.0
202602,04 DRY FOOD,0460 HBA,1579005.07,18932.0,2018642.9,21796.0
202605,05 FRESH FOOD,0540 DELICATESSEN,280111.46,7539.13,241548.9,6034.09
202607,06 PHARMACY,0620 OVER THE COUNTER,0.0,0.0,101.87,1.0
202603,04 DRY FOOD,0420 SWEETED GROCE.2,973580.2,29360.0,1020711.39,32003.0
202603,04 DRY FOOD,0460 HBA,2009349.72,25157.0,2050721.98,23914.0
202606,05 FRESH FOOD,0540 DELICATESSEN,282989.58,8237.03,215558.09,6816.5
